algorithm,conv_kernel_size,dropout,filename,filters,inp_size,internal_size,l1_lambda,loss,lr,mode,model,num_gates,num_gnn,num_neighbours,out_size,pool_size,separate_sets,smoothing,split,trainer,trial_no,use_l1_reg,use_validation,use_weights
"euclidean","10","0.46635329517851853","MiceBL.csv","20","10346","100","0.0009441493053520629","76.80266571044922","0.006739050323541321","distance","create_network_gated_dropout","2","0","3","1","2","True","laplacian","8","plain_trainer","0","True","True","True"
"euclidean","10","0.10048253265190088","MiceBL.csv","20","10346","100","0.00039190763239524645","283925.875","0.003116383759769085","distance","create_network_gated_dropout","4","0","3","1","2","True","laplacian","8","plain_trainer","1","True","True","True"
"euclidean","10","0.4866057549213167","MiceBL.csv","20","10346","100","0.0005517647110751651","235550588928.0","0.009406850853954592","distance","create_network_gated_dropout","5","0","3","1","2","True","laplacian","8","plain_trainer","2","True","True","True"
"euclidean","10","0.055784502334890074","MiceBL.csv","20","10346","100","4.950716342469089e-05","9833532416.0","0.0032930461272820165","distance","create_network_gated_dropout","5","0","3","1","2","True","laplacian","8","plain_trainer","3","True","True","True"
"euclidean","10","0.15888116651608603","MiceBL.csv","20","10346","100","0.0001468289342945696","970.6646118164062","0.0028898667661518634","distance","create_network_gated_dropout","3","0","3","1","2","True","laplacian","8","plain_trainer","4","True","True","True"
"euclidean","10","0.33659311202232917","MiceBL.csv","20","10346","100","0.00021614778044672743","11056.3935546875","0.0028061706564405935","distance","create_network_gated_dropout","4","0","3","1","2","True","laplacian","8","plain_trainer","5","True","True","True"
"euclidean","10","0.3324704503291533","MiceBL.csv","20","10346","100","0.00024403264380194858","2.2259681224823","0.0065040789552713646","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","8","True","True","True"
"euclidean","10","0.1194437548627037","MiceBL.csv","20","10346","100","0.0003317213711948079","657707.125","0.009148725956816376","distance","create_network_gated_dropout","4","0","3","1","2","True","laplacian","8","plain_trainer","9","True","True","True"
"euclidean","10","0.3865079517356939","MiceBL.csv","20","10346","100","0.0007292344859780166","3.462724447250366","0.0048876961051292755","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","10","True","True","True"
"euclidean","10","0.3865734972563716","MiceBL.csv","20","10346","100","0.0006692010933286032","0.6063502430915833","0.004758421713083929","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","11","True","True","True"
"euclidean","10","0.40576913211901755","MiceBL.csv","20","10346","100","0.000616085840011991","0.6330856084823608","0.0046465593988633345","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","12","True","True","True"
