algorithm,conv_kernel_size,dropout,filename,filters,inp_size,internal_size,l1_lambda,loss,lr,mode,model,num_gates,num_gnn,num_neighbours,out_size,pool_size,separate_sets,smoothing,split,trainer,trial_no,use_l1_reg,use_validation,use_weights
"euclidean","10","0.05790959139657065","MiceBL.csv","20","10346","100","0.0005482039418796791","3996975.25","0.0025544963178613946","distance","create_network_gated_dropout","5","0","1","1","2","True","laplacian","8","plain_trainer","0","True","True","True"
"euclidean","10","0.16314673206529068","MiceBL.csv","20","10346","100","0.0009935272530433375","1.555391788482666","0.006217125429762859","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","1","True","True","True"
"euclidean","10","0.2701530971414021","MiceBL.csv","20","10346","100","0.0009033520585244736","475102944.0","0.009403821958305613","distance","create_network_gated_dropout","4","0","1","1","2","True","laplacian","8","plain_trainer","2","True","True","True"
"euclidean","10","0.1455685760720027","MiceBL.csv","20","10346","100","0.0008624224395177548","0.6625663042068481","0.008446008680113647","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","3","True","True","True"
"euclidean","10","0.4601723338245209","MiceBL.csv","20","10346","100","0.0008900633583833848","9031231.0","0.003293235624825963","distance","create_network_gated_dropout","5","0","1","1","2","True","laplacian","8","plain_trainer","4","True","True","True"
"euclidean","10","0.2863995886984946","MiceBL.csv","20","10346","100","0.0003758598165396669","6359904.0","0.008486640616205594","distance","create_network_gated_dropout","4","0","1","1","2","True","laplacian","8","plain_trainer","5","True","True","True"
"euclidean","10","0.13605636895492895","MiceBL.csv","20","10346","100","0.0003438619493152431","5.4504313468933105","0.0020011521093486265","distance","create_network_gated_dropout","2","0","1","1","2","True","laplacian","8","plain_trainer","6","True","True","True"
