algorithm,conv_kernel_size,dropout,filename,filters,inp_size,internal_size,l1_lambda,loss,lr,mode,model,num_gates,num_gnn,num_neighbours,out_size,pool_size,separate_sets,smoothing,split,trainer,trial_no,use_l1_reg,use_validation,use_weights
"euclidean","10","0.04986547356749782","MiceBL.csv","20","10346","100","0.0004947063157876701","3931.860595703125","0.009191188221221898","distance","create_network_gated_dropout","3","4","3","1","2","True","laplacian","8","plain_trainer","0","True","True","True"
"euclidean","10","0.41610592460219037","MiceBL.csv","20","10346","100","6.653957922949021e-05","320.6824645996094","0.0067739842342371195","distance","create_network_gated_dropout","2","5","3","1","2","True","laplacian","8","plain_trainer","1","True","True","True"
"euclidean","10","0.3143011624865642","MiceBL.csv","20","10346","100","0.0006213289333734966","1.240585446357727","0.0063088806411400866","distance","create_network_gated_dropout","1","2","3","1","2","True","laplacian","8","plain_trainer","2","True","True","True"
"euclidean","10","0.18121453861182885","MiceBL.csv","20","10346","100","0.0003977813911036713","453.51568603515625","0.003446656448835629","distance","create_network_gated_dropout","4","3","3","1","2","True","laplacian","8","plain_trainer","3","True","True","True"
"euclidean","10","0.4382701937005588","MiceBL.csv","20","10346","100","0.00012615307638158123","132.76177978515625","0.006327869467623638","distance","create_network_gated_dropout","3","1","3","1","2","True","laplacian","8","plain_trainer","4","True","True","True"
"euclidean","10","0.1222416475374345","MiceBL.csv","20","10346","100","0.000114095250405392","24990.455078125","0.008703872627474341","distance","create_network_gated_dropout","2","2","3","1","2","True","laplacian","8","plain_trainer","7","True","True","True"
"euclidean","10","0.2047128718139547","MiceBL.csv","20","10346","100","0.000941522515703191","10.370328903198242","0.007755126398626012","distance","create_network_gated_dropout","1","4","3","1","2","True","laplacian","8","plain_trainer","8","True","True","True"
"euclidean","10","0.33387215480695176","MiceBL.csv","20","10346","100","0.0002929996153651133","1.140075445175171","0.004823347577517995","distance","create_network_gated_dropout","1","1","3","1","2","True","laplacian","8","plain_trainer","10","True","True","True"
"euclidean","10","0.3416539211810031","MiceBL.csv","20","10346","100","0.00028659080865691815","3.821535348892212","0.0023953941920585907","distance","create_network_gated_dropout","1","2","3","1","2","True","laplacian","8","plain_trainer","12","True","True","True"
