algorithm,conv_kernel_size,dropout,filename,filters,inp_size,internal_size,l1_lambda,loss,lr,mode,model,num_gates,num_gnn,num_neighbours,out_size,pool_size,separate_sets,smoothing,split,trainer,trial_no,use_l1_reg,use_validation,use_weights
"euclidean","10","0.06371143521851919","MiceBL.csv","20","10346","100","0.0006154384636155161","6.260931968688965","0.00798549184554189","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","0","True","True","True"
"euclidean","10","0.33010234087226514","MiceBL.csv","20","10346","100","0.0006724960140839118","6.314358234405518","0.009447289101748444","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","1","True","True","True"
"euclidean","10","0.33846604917259593","MiceBL.csv","20","10346","100","0.0009275530830209955","18.605424880981445","0.002568677944564712","distance","create_network_gated_dropout","2","0","3","1","2","True","laplacian","8","plain_trainer","2","True","True","True"
"euclidean","10","0.04942698300031856","MiceBL.csv","20","10346","100","0.0008616810903270215","1573.5587158203125","0.0025272543141554122","distance","create_network_gated_dropout","3","0","3","1","2","True","laplacian","8","plain_trainer","3","True","True","True"
"euclidean","10","0.0810423464042439","MiceBL.csv","20","10346","100","0.00012425288769541594","1907592192.0","0.004373549796037306","distance","create_network_gated_dropout","5","0","3","1","2","True","laplacian","8","plain_trainer","4","True","True","True"
"euclidean","10","0.4180228576343602","MiceBL.csv","20","10346","100","0.0005307027536019891","244.544921875","0.0031811216789522966","distance","create_network_gated_dropout","2","0","3","1","2","True","laplacian","8","plain_trainer","5","True","True","True"
"euclidean","10","0.057476653959006196","MiceBL.csv","20","10346","100","0.0004337916852782055","26.54157257080078","0.007497171748207992","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","9","True","True","True"
"euclidean","10","0.47025213511476777","MiceBL.csv","20","10346","100","0.0004837697127343041","14.924569129943848","0.009907500882065757","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","11","True","True","True"
"euclidean","10","0.18314679157973235","MiceBL.csv","20","10346","100","0.0006361573100287039","2.695857524871826","0.008452564230958123","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","12","True","True","True"
"euclidean","10","0.25948072740352374","MiceBL.csv","20","10346","100","0.0007586690803994422","16.47731590270996","0.005144467766036758","distance","create_network_gated_dropout","2","0","3","1","2","True","laplacian","8","plain_trainer","17","True","True","True"
"euclidean","10","0.4140181250575055","MiceBL.csv","20","10346","100","0.0005264958601967529","10.114882469177246","0.008880906006471012","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","24","True","True","True"
"euclidean","10","0.2926557962471732","MiceBL.csv","20","10346","100","0.0007375826693164046","0.5672731399536133","0.008045135802963722","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","26","True","True","True"
"euclidean","10","0.28790738378532427","MiceBL.csv","20","10346","100","0.0007099721840737087","1.565522313117981","0.008538185964056954","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","29","True","True","True"
"euclidean","10","0.2133273456842923","MiceBL.csv","20","10346","100","0.0007131433450216497","3.2878339290618896","0.008882684846794985","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","31","True","True","True"
"euclidean","10","0.1909204892617597","MiceBL.csv","20","10346","100","0.0005717425341028072","100.5177001953125","0.00859351472566322","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","45","True","True","True"
"euclidean","10","0.4879209011070633","MiceBL.csv","20","10346","100","0.0004761625792155399","4.337685585021973","0.007859045936457342","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","47","True","True","True"
"euclidean","10","0.44612096820886715","MiceBL.csv","20","10346","100","0.0002514459226734768","579.5548706054688","0.008292312885126335","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","49","True","True","True"
"euclidean","10","0.11324852137652805","MiceBL.csv","20","10346","100","0.000682665774421587","15.091142654418945","0.008641912646626598","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","51","True","True","True"
"euclidean","10","0.3883962905438387","MiceBL.csv","20","10346","100","0.0005636022906522125","5.530572414398193","0.009053553827125284","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","54","True","True","True"
"euclidean","10","0.22827808651565137","MiceBL.csv","20","10346","100","0.0005950656233307028","1.333455204963684","0.004556368496418034","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","60","True","True","True"
"euclidean","10","0.22801780050598622","MiceBL.csv","20","10346","100","0.0005901087157327244","1.8148564100265503","0.0047605921725477045","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","61","True","True","True"
"euclidean","10","0.2819879151199155","MiceBL.csv","20","10346","100","0.0006502886987994957","1.9114081859588623","0.00482308155047242","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","62","True","True","True"
"euclidean","10","0.2823981480168755","MiceBL.csv","20","10346","100","0.0005977776134429869","2.077988386154175","0.004271041931515216","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","64","True","True","True"
"euclidean","10","0.29091951696680407","MiceBL.csv","20","10346","100","0.0006023324585155093","2.0847413539886475","0.003858074957893089","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","65","True","True","True"
"euclidean","10","0.2522823752097854","MiceBL.csv","20","10346","100","0.0005343481698502021","1.114808440208435","0.0031454464864369303","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","69","True","True","True"
"euclidean","10","0.24520142783430848","MiceBL.csv","20","10346","100","0.0005366725986203764","0.8037264943122864","0.0033569531032699588","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","70","True","True","True"
"euclidean","10","0.2572744701515774","MiceBL.csv","20","10346","100","0.0006804503220940922","2.2178215980529785","0.004383562127079777","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","73","True","True","True"
"euclidean","10","0.21026725772541172","MiceBL.csv","20","10346","100","0.0006516255237551564","1.873644471168518","0.0025186896703115248","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","79","True","True","True"
"euclidean","10","0.22506178094701612","MiceBL.csv","20","10346","100","0.0006906789847412292","1.022396206855774","0.0025760228559356608","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","82","True","True","True"
"euclidean","10","0.16778261387605733","MiceBL.csv","20","10346","100","0.0007140435304412756","1.555172085762024","0.002805720942552091","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","86","True","True","True"
"euclidean","10","0.1931855072857333","MiceBL.csv","20","10346","100","0.0007984030919107415","0.8998549580574036","0.003493802326361978","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","88","True","True","True"
"euclidean","10","0.19610821950222623","MiceBL.csv","20","10346","100","0.0008218413545085459","1.1278016567230225","0.003440149471390541","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","89","True","True","True"
"euclidean","10","0.2463635765489741","MiceBL.csv","20","10346","100","0.0007547409571409072","0.9477183818817139","0.00331139876067442","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","94","True","True","True"
"euclidean","10","0.2478361763505582","MiceBL.csv","20","10346","100","0.0007666242685807911","2.010941505432129","0.0028265083104213854","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","95","True","True","True"
"euclidean","10","0.30167918400918675","MiceBL.csv","20","10346","100","0.000823363249965009","2.1804006099700928","0.003079014986022324","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","98","True","True","True"
"euclidean","10","0.2215996349265969","MiceBL.csv","20","10346","100","0.0007496351321077557","5.844898223876953","0.002622038868498278","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","101","True","True","True"
"euclidean","10","0.2395654499035407","MiceBL.csv","20","10346","100","0.0006167984808972792","0.819380521774292","0.005483585967333749","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","109","True","True","True"
"euclidean","10","0.21873323604055503","MiceBL.csv","20","10346","100","0.0007386113852130075","1.3065690994262695","0.0037350583461668438","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","120","True","True","True"
"euclidean","10","0.18728193665991344","MiceBL.csv","20","10346","100","0.0007956248268855648","2.2185561656951904","0.00363394564015639","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","122","True","True","True"
"euclidean","10","0.17072116652334038","MiceBL.csv","20","10346","100","0.0007619893274361331","4.554666996002197","0.004969310761678032","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","123","True","True","True"
"euclidean","10","0.24519986219135417","MiceBL.csv","20","10346","100","0.000726635260774011","8.844075202941895","0.008704992487220137","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","144","True","True","True"
"euclidean","10","0.3067537079662532","MiceBL.csv","20","10346","100","0.000563188433353093","0.4722176790237427","0.005117957378795287","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","146","True","True","True"
"euclidean","10","0.17982957540481362","MiceBL.csv","20","10346","100","0.000530486260964114","8.142765998840332","0.008442722014496772","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","150","True","True","True"
"euclidean","10","0.28211407829215923","MiceBL.csv","20","10346","100","0.0005935589154704799","0.5801742076873779","0.004957467022057396","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","153","True","True","True"
"euclidean","10","0.27646735706024983","MiceBL.csv","20","10346","100","0.00020979053346675808","0.5416844487190247","0.00284754673468011","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","159","True","True","True"
"euclidean","10","0.288107994463853","MiceBL.csv","20","10346","100","0.00018941669625556178","1.0015515089035034","0.0054586254812912655","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","160","True","True","True"
"euclidean","10","0.2876422522671556","MiceBL.csv","20","10346","100","0.00018376255843327984","0.9526049494743347","0.005533220811784091","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","161","True","True","True"
"euclidean","10","0.3056060560791663","MiceBL.csv","20","10346","100","0.00019824845775625252","5.303146839141846","0.005243508500688112","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","163","True","True","True"
"euclidean","10","0.3155057592112112","MiceBL.csv","20","10346","100","0.0003129941568485026","7.051629066467285","0.005788707502016959","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","165","True","True","True"
"euclidean","10","0.2552477741683769","MiceBL.csv","20","10346","100","0.0002421391111240767","0.754960834980011","0.005192803359444549","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","170","True","True","True"
"euclidean","10","0.2799341350704768","MiceBL.csv","20","10346","100","0.00018699645329883782","0.6620975732803345","0.005663601160092232","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","177","True","True","True"
"euclidean","10","0.2704959799653823","MiceBL.csv","20","10346","100","9.690439815789793e-05","0.7469481825828552","0.005609016079459007","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","178","True","True","True"
"euclidean","10","0.2390552299474487","MiceBL.csv","20","10346","100","4.5208069719999195e-05","2.205190896987915","0.006266621148318096","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","185","True","True","True"
"euclidean","10","0.28882723293007356","MiceBL.csv","20","10346","100","0.00017554271074423988","3.888432502746582","0.003472719643608298","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","191","True","True","True"
"euclidean","10","0.24099770299673237","MiceBL.csv","20","10346","100","0.0005339631025456207","2.5639941692352295","0.0050249677775329364","distance","create_network_gated_dropout","1","0","3","1","2","True","laplacian","8","plain_trainer","203","True","True","True"
